EmployeeID,Gender,Ethnicity,Dept,Role,Location,TenureYears,AttritionFlag,HireDate
128,F,GroupA,Engineering,Frontend,London,0.09,0,2020-09-25
129,M,GroupC,Marketing,Paid Media,NYC,4.13,0,2020-07-28
130,M,GroupA,Sales,CSM,Berlin,1.22,0,2023-02-22
131,M,GroupC,Sales,AE,London,5.39,0,2023-03-18
132,M,GroupD,Engineering,Backend,London,2.71,0,2023-01-10
133,M,GroupC,Marketing,SEO,London,5.37,0,2023-05-18
134,F,GroupB,Marketing,Content,London,3.51,0,2023-08-22
135,M,GroupB,Finance,Accountant,Berlin,4.41,0,2021-10-08
136,F,GroupC,Finance,Accountant,Berlin,1.79,0,2020-05-02
137,F,GroupB,Engineering,Frontend,London,4.3,0,2024-01-26
138,F,GroupA,Engineering,Backend,Berlin,2.86,0,2022-08-25
139,F,GroupB,Sales,SDR,NYC,2.7,0,2020-09-22
140,F,GroupA,HR,HRBP,Dublin,5.27,0,2021-12-07
141,F,GroupC,Sales,SDR,Berlin,1.63,0,2023-12-02
142,M,GroupD,Engineering,Data,Berlin,3.59,1,2023-04-14
143,F,GroupA,Sales,SDR,NYC,2.14,0,2021-02-13
144,F,GroupB,Sales,CSM,NYC,5.21,0,2023-04-10
145,F,GroupC,Finance,Controller,Dublin,1.15,0,2024-08-15
146,M,GroupC,Finance,Analyst,Dublin,4.38,0,2020-05-03
147,F,GroupA,Sales,SDR,London,4.75,0,2021-08-28
148,F,GroupD,HR,HRBP,Berlin,0.51,0,2022-06-07
149,M,GroupC,Marketing,Content,London,5.1,0,2023-02-26
150,F,GroupB,Marketing,SEO,Berlin,4.73,0,2024-12-16
151,M,GroupC,Sales,CSM,Berlin,6.05,0,2024-04-05
152,F,GroupD,Engineering,Backend,Dublin,0.64,0,2023-01-22
153,F,GroupA,Finance,Controller,London,3.92,0,2023-06-20
154,F,GroupC,HR,Recruiter,London,4.71,0,2024-01-22
155,F,GroupD,Sales,AE,Berlin,6.51,0,2024-08-28
156,M,GroupB,Marketing,Paid Media,Dublin,2.53,0,2024-10-22
157,F,GroupD,Finance,Analyst,NYC,3.38,0,2022-11-16
158,M,GroupB,HR,Coordinator,Dublin,2.46,1,2022-09-02
159,M,GroupB,Finance,Controller,Dublin,3.46,0,2023-01-11
160,F,GroupB,Engineering,Backend,Dublin,4.85,0,2021-11-27
161,M,GroupC,Sales,CSM,Berlin,4.15,0,2023-01-19
162,M,GroupB,Sales,SDR,Dublin,6.64,0,2021-05-04
163,M,GroupD,Finance,Controller,Dublin,1.26,0,2020-01-24
164,F,GroupD,Engineering,Data,London,3.61,0,2022-06-25
165,F,GroupD,Sales,AE,NYC,2.55,0,2023-11-16
166,M,GroupA,HR,Coordinator,London,3.46,0,2023-12-08
167,F,GroupB,Engineering,Data,NYC,7.15,1,2023-09-07
168,M,GroupC,Engineering,Frontend,Dublin,2.6,0,2024-07-31
169,F,GroupD,Finance,Accountant,Dublin,1.54,0,2024-12-27
170,M,GroupC,HR,Coordinator,NYC,3.21,0,2024-07-07
171,F,GroupB,HR,Coordinator,Dublin,3.57,0,2021-02-12
172,M,GroupB,Marketing,Content,Dublin,1.25,0,2022-02-21
173,M,GroupA,HR,HRBP,London,4.86,0,2021-03-01
174,M,GroupB,HR,HRBP,Berlin,2.7,0,2024-01-12
175,F,GroupB,HR,Coordinator,Dublin,0.0,0,2023-02-10
176,M,GroupD,HR,Recruiter,NYC,5.11,1,2022-09-21
177,M,GroupB,Marketing,Content,London,2.62,0,2024-08-10
178,M,GroupB,Finance,Accountant,Berlin,2.37,0,2021-12-01
179,F,GroupD,Finance,Controller,Dublin,1.83,0,2020-10-01
180,F,GroupD,HR,Recruiter,NYC,5.4,0,2022-06-01
181,F,GroupB,Marketing,SEO,Dublin,0.0,0,2022-10-15
182,M,GroupC,HR,HRBP,NYC,3.99,1,2020-02-26
183,M,GroupA,Sales,SDR,Berlin,2.03,0,2022-03-29
184,M,GroupC,Finance,Analyst,NYC,0.0,0,2024-06-06
185,F,GroupB,Sales,AE,Dublin,4.06,0,2024-05-14
186,F,GroupB,Engineering,Data,London,2.69,0,2023-03-04
187,F,GroupC,Finance,Analyst,Dublin,3.65,0,2022-08-28
188,M,GroupB,Engineering,Frontend,Dublin,3.09,1,2021-01-05
189,F,GroupA,Sales,CSM,London,4.75,1,2021-10-19
190,F,GroupD,HR,HRBP,London,5.72,0,2023-10-02
191,F,GroupC,HR,HRBP,Berlin,2.31,0,2020-11-07
192,M,GroupB,Sales,SDR,NYC,2.92,0,2024-07-03
193,M,GroupC,HR,HRBP,Dublin,6.6,0,2024-11-06
194,M,GroupC,Finance,Analyst,London,1.92,0,2020-03-22
195,F,GroupB,HR,HRBP,Dublin,4.72,1,2024-06-12
196,F,GroupC,Marketing,Paid Media,NYC,2.91,0,2022-10-25
197,F,GroupD,Sales,CSM,Berlin,4.93,0,2021-10-04
198,M,GroupD,Engineering,Backend,Dublin,4.43,1,2021-06-02
199,M,GroupA,Engineering,Data,London,7.35,0,2022-12-29
200,M,GroupC,Engineering,Data,Dublin,0.44,0,2020-11-12
201,F,GroupA,Marketing,Paid Media,Berlin,0.0,0,2021-08-11
202,M,GroupB,Marketing,Content,Dublin,6.03,0,2021-02-12
203,M,GroupB,HR,Recruiter,London,5.27,0,2024-07-13
204,M,GroupA,Sales,SDR,Dublin,3.17,0,2020-03-05
205,F,GroupB,Marketing,SEO,Dublin,3.25,0,2022-05-31
206,F,GroupD,HR,Recruiter,London,5.5,0,2021-03-01
207,M,GroupB,Marketing,Paid Media,Dublin,6.82,0,2024-10-01
208,M,GroupB,Finance,Controller,Berlin,4.75,0,2021-11-10
209,F,GroupD,Engineering,Frontend,Berlin,1.44,0,2023-07-11
210,M,GroupD,HR,Coordinator,NYC,5.38,0,2021-04-04
211,F,GroupA,Marketing,Content,Dublin,0.36,0,2020-11-28
212,M,GroupC,Sales,SDR,Berlin,4.29,0,2023-12-16
213,M,GroupB,Engineering,Data,Berlin,0.02,0,2023-09-02
214,M,GroupA,Engineering,Frontend,Berlin,1.22,1,2022-09-03
215,M,GroupC,Sales,AE,London,5.42,0,2020-11-29
216,F,GroupC,Sales,SDR,Dublin,2.58,0,2021-11-20
217,M,GroupB,Engineering,Data,NYC,3.57,0,2022-03-03
218,M,GroupD,HR,Coordinator,Berlin,1.63,0,2022-09-22
219,F,GroupC,Sales,AE,Berlin,1.34,0,2023-08-08
220,M,GroupB,Engineering,Frontend,NYC,3.09,1,2021-05-12
221,M,GroupC,Finance,Controller,Berlin,3.3,0,2021-03-07
222,F,GroupB,Marketing,SEO,Berlin,4.41,0,2024-08-25
223,M,GroupA,Marketing,SEO,NYC,1.52,0,2024-03-09
224,F,GroupA,Engineering,Frontend,Dublin,3.45,0,2021-03-15
225,M,GroupD,Sales,SDR,London,4.99,1,2021-08-30
226,M,GroupB,Marketing,Paid Media,Dublin,0.61,0,2021-04-12
227,F,GroupD,Marketing,Content,London,2.11,0,2023-03-04
228,F,GroupD,Finance,Accountant,London,3.68,0,2020-09-21
229,F,GroupA,Finance,Accountant,London,2.72,0,2020-02-15
230,M,GroupD,Finance,Controller,London,2.11,1,2024-04-02
231,M,GroupD,Engineering,Backend,NYC,4.75,0,2024-01-02
232,M,GroupC,Engineering,Backend,Berlin,0.94,0,2022-12-05
233,F,GroupB,HR,Coordinator,Dublin,1.73,1,2020-12-02
234,F,GroupC,Engineering,Backend,Berlin,2.44,0,2020-02-22
235,F,GroupB,Sales,AE,NYC,4.13,1,2022-07-23
236,F,GroupC,HR,HRBP,Dublin,1.98,0,2024-11-19
237,M,GroupB,Finance,Analyst,London,0.0,0,2020-09-04
238,M,GroupA,Finance,Controller,London,5.84,0,2021-05-31
239,M,GroupD,Engineering,Backend,London,1.6,0,2020-09-21
240,F,GroupD,HR,Coordinator,Berlin,2.45,0,2020-03-23
241,M,GroupB,Marketing,Paid Media,Dublin,4.14,0,2024-08-03
242,F,GroupB,HR,Recruiter,Berlin,4.2,0,2022-05-10
243,F,GroupA,Marketing,SEO,Berlin,1.34,0,2021-04-14
244,F,GroupD,Engineering,Frontend,Berlin,3.16,1,2024-10-11
245,M,GroupB,Engineering,Data,London,1.91,0,2021-07-12
246,M,GroupA,Sales,SDR,Berlin,2.63,0,2020-07-03
247,F,GroupD,Engineering,Data,Berlin,3.9,0,2020-09-17
248,F,GroupC,Finance,Accountant,Dublin,5.11,0,2024-12-16
249,F,GroupA,Marketing,Content,NYC,3.42,0,2024-11-15
250,M,GroupD,Marketing,Content,Dublin,2.92,0,2021-07-07
251,F,GroupA,Finance,Analyst,London,0.14,0,2020-07-01
252,M,GroupB,Marketing,SEO,NYC,1.07,0,2020-11-04
253,M,GroupD,Finance,Accountant,Berlin,0.0,0,2023-08-20
254,F,GroupA,HR,Coordinator,NYC,3.31,0,2020-09-11
255,F,GroupC,Sales,CSM,Dublin,5.09,0,2024-05-07
256,M,GroupD,Engineering,Frontend,Berlin,3.67,0,2023-09-10
257,F,GroupC,Marketing,Content,Berlin,2.63,0,2020-09-06
258,F,GroupD,Finance,Analyst,Berlin,1.62,0,2022-12-24
259,M,GroupA,HR,Coordinator,London,4.07,0,2023-07-16
260,M,GroupB,Sales,AE,Dublin,0.0,0,2024-05-22
261,F,GroupB,Sales,SDR,Berlin,4.92,0,2022-06-25
262,F,GroupB,Marketing,Content,London,5.04,0,2024-05-17
263,M,GroupC,Sales,AE,London,0.4,0,2022-05-20
264,F,GroupA,Marketing,SEO,NYC,3.71,0,2024-10-11
265,F,GroupD,Sales,AE,London,5.66,1,2023-12-20
266,M,GroupD,Finance,Analyst,NYC,0.0,0,2024-02-12
267,M,GroupA,HR,HRBP,London,1.63,0,2024-02-29
268,F,GroupD,Engineering,Backend,London,1.07,0,2020-11-17
269,M,GroupA,Marketing,Content,Dublin,3.52,0,2023-08-05
270,M,GroupA,HR,Coordinator,Dublin,1.5,1,2020-08-10
271,M,GroupD,Finance,Accountant,NYC,2.86,0,2021-03-04
272,M,GroupD,Marketing,SEO,Berlin,4.55,0,2023-08-14
273,F,GroupB,Sales,CSM,NYC,5.41,0,2021-08-27
274,F,GroupB,Sales,AE,Berlin,4.26,0,2022-06-20
275,M,GroupD,Finance,Analyst,NYC,5.31,0,2023-11-12
276,M,GroupB,HR,Coordinator,Berlin,0.0,0,2024-11-19
277,F,GroupD,Sales,CSM,Berlin,2.12,1,2023-07-06
278,F,GroupC,Sales,AE,Berlin,4.19,0,2020-10-30
279,F,GroupA,Finance,Controller,NYC,4.75,0,2020-03-30
280,M,GroupA,HR,Coordinator,Berlin,1.48,0,2024-08-16
281,M,GroupC,Marketing,Content,London,2.32,0,2020-08-03
282,M,GroupD,Marketing,SEO,NYC,2.43,0,2024-04-23
283,F,GroupB,Finance,Controller,Dublin,0.16,1,2022-08-21
284,M,GroupB,Finance,Controller,NYC,3.89,0,2021-04-02
285,F,GroupD,Marketing,SEO,NYC,3.35,0,2024-07-31
286,F,GroupC,Engineering,Backend,NYC,4.75,1,2023-01-31
287,M,GroupA,Sales,CSM,London,1.11,0,2022-10-17
288,M,GroupB,Engineering,Frontend,NYC,5.22,0,2022-12-04
289,F,GroupC,Sales,CSM,Berlin,1.21,0,2022-10-17
290,F,GroupC,Sales,SDR,NYC,0.0,0,2020-01-12
291,M,GroupB,HR,HRBP,Berlin,7.99,0,2021-03-23
292,M,GroupC,HR,Recruiter,Berlin,2.03,0,2021-04-17
293,F,GroupD,Finance,Accountant,Berlin,2.36,0,2020-12-29
294,M,GroupB,Sales,AE,London,1.88,1,2022-01-22
295,M,GroupC,Marketing,Paid Media,London,6.68,0,2020-06-03
296,F,GroupB,HR,Recruiter,NYC,5.02,0,2024-02-21
297,F,GroupD,Sales,AE,Berlin,1.77,1,2021-02-14
298,M,GroupD,Sales,CSM,Dublin,1.27,1,2020-12-21
299,F,GroupD,HR,HRBP,London,4.11,0,2024-06-03
300,F,GroupD,HR,HRBP,London,2.49,0,2022-11-11
